,University,Department,Overall Pay,Living Wage Ratio,Academic Year,Program Year,Comments,12M Gross Pay,9M Gross Pay,3M Gross Pay,Fees,Aggregate Department
355,UMass Boston,public policy,15800,0.55,2020,1st,"18K for 9 months for 3 years.<br>fees include a percent of health insurance.<br>Overall approximately <span class=""truncated""> $2200 per year so the effective stipend is $16k.<br>Too little to survive in Boston in all honesty.<br>People struggle to find funding after 3rd year.<br>Helpful to have a spouse who earns money to assist.<br>International students will struggle a lot financially if the stipend is the only source of income.<br></span>",,"$18,000",,"$2,200",public policy
356,Tufts University,child studies,24007,0.86,2020,1st,,,"$25,007",,"$1,000",child studies
357,Northeastern University,history,23000,,2020,2nd,,,"$23,000",,,history
358,Harvard University,comparative literature,27900,0.97,2020,2nd,,"$28,000",,,$100,comparative literature
359,Boston University,bioinformatics,35885,1.25,2020,1st,,"$35,885",,,,bioinformatics
360,UMass Boston,psychology,22092,0.77,2020,4th,"^ rough estimate of fees,<br>including health insurance",,"$18,092","$6,000","$2,000",psychology
361,Harvard University,systems biology,40500,1.41,2020,2nd,"Healthcare,<br>gym membership,<br>tuition,<br>$1000 move-in stipend,<br>all included.","$40,500",,,,systems biology
362,Harvard University,engineering,36000,1.26,2020,1st,,"$36,000",,,,engineering
363,Harvard University,engineering,36000,1.26,2020,1st,,"$36,000",,,,engineering
364,Tufts University,molecular microbiology,35250,1.26,2020,2nd,,"$35,500",,,$250,molecular microbiology
365,MIT,chemical engineering,43380,1.55,2020,3rd,,"$43,380",,,,chemical engineering
366,MIT,physics,41156,1.47,2020,2nd,,"$41,496",,,$340,physics
367,Harvard University,applied physics,38916,1.36,2020,1st,,"$38,916",,,,applied physics
368,MIT,mechanical,36984,1.32,2020,1st,,"$36,984",,,,mechanical
369,MIT,physics,41133,1.47,2020,5th,Stipend change not going into effect until September,"$41,501",,,$368,physics
370,Harvard University,astronomy,41916,1.46,2020,1st,,"$41,916",,,,astronomy
371,Northeastern University,computer science,39745,1.39,2020,5th,The pay is after PhD candidacy.<br>It would be 37K before candidacy.,"$40,000",,,$255,computer science
372,Harvard University,harvard business school,43860,1.53,2020,5th,Full health coverage,"$43,860",,,,harvard business school
373,Northeastern University,political science,23500,0.82,2020,2nd,,,"$22,500","$1,500",$500,political science
374,MIT,brain and cognitive science,41368,1.48,2020,2nd,,"$41,628",,,$260,brain and cognitive science
375,Harvard University,organismic and evolutionary biology,40607,1.42,2020,3rd,"Health coverage for dependents is expensive (~$8k/yr for spouse,<br>$4.2k/yr for child).<br>Dental <span class=""truncated""> insurance is extra ($528/yr in 2020); no 401(k)/403(b)<br>or matching for stipend income,<br>though 403(b)<br>exists for teaching income.<br> Difficult or impossible to live in Cambridge on this stipend without roommates or external support.<br>Expected to teach six classes to contribute financially to the department (no change in stipend).<br>Half-price MBTA transit passes,<br>but only during the school year.</span>","$40,632",,,$25,organismic and evolutionary biology
376,Northeastern University,psychology,55000,1.92,2020,1st,,"$55,000",,,,psychology
377,Harvard University,sociology,36600,1.28,2020,1st,,,"$30,500","$6,100",,sociology
378,Northeastern University,,11468,0.4,2020,1st,,"$11,740",,,$272,
379,MIT,linguistics,40536,1.45,2020,4th,pre tax,"$40,536",,,,linguistics
380,Harvard University,physics,39000,1.36,2020,2nd,"$1k travel fund,<br>no health insurance premium","$39,000",,,,physics
381,MIT,biology,40416,1.45,2020,1st,"Usually a $184 fee,<br>but evidently it´s waived because of the pandemic.","$40,416",,,,biology
382,Harvard University,epidemiology,30500,1.06,2020,1st,"After 1st year,<br>it increases to 36,000,<br>dispursed over 12 months.<br> Have to TA 1 class at some point <span class=""truncated""> in the program.<br> </span>",,"$30,500",,,epidemiology
383,Harvard University,"graduate school of education, phd in education",36500,1.27,2020,1st,"First two years of Fellowship with no string attached,<br>Y3 and Y4 tied to TA/RA type work,<br>Y5 of <span class=""truncated""> guaranteed funding is dissertation writing year: no strings attached,<br>but requires dissertation approval.</span>",,"$30,500","$6,000",,"graduate school of education, phd in education"
384,Harvard University,biology,25000,0.87,2020,5th,,,"$37,000",,"$12,000",biology
385,Tufts University,biomedical engineering,35175,1.26,2020,1st,,"$35,175",,,,biomedical engineering
386,Harvard University,comparative literature,36600,1.28,2020,1st,,,"$30,500","$6,100",,comparative literature
